Date,Open,High,Low,Close,Adj Close,Volume
6/23/2015,26180,26560,25820,26420,20513.03516,10159000
6/24/2015,26000,26220,25820,26040,20217.99414,10198000
6/25/2015,25800,26060,25380,25380,19705.55859,10695800
6/26/2015,25040,25800,25040,25560,19845.3125,10347500
6/29/2015,25380,25700,25120,25620,19907.47461,11519950
6/30/2015,25520,25700,25320,25360,19705.44922,9870350
7/1/2015,25360,26040,25180,25900,20125.04688,8324900
7/2/2015,25720,26080,25700,25980,20187.20508,8223000
7/3/2015,25740,25880,25340,25360,19705.44922,7130200
7/6/2015,25060,25200,24460,24600,19114.9082,10099950
7/7/2015,24400,25180,24400,24800,19270.30859,12478250
7/8/2015,24800,25020,24640,24780,19254.77148,11780950
7/9/2015,24600,25300,24520,25300,19658.82422,14030500
7/10/2015,25140,25320,24960,25180,19565.58594,9573400
7/13/2015,25000,25440,24900,25320,19674.36133,7672050
7/14/2015,25300,25400,24420,24500,19037.20313,19989700
7/15/2015,24500,24760,24480,24700,19192.61523,8370650
7/16/2015,24460,25740,24460,25640,19923.00977,11173450
7/17/2015,26000,26220,25560,26100,20280.44922,14861650
7/20/2015,25820,26080,25460,25500,19814.23047,6446400
7/21/2015,25500,25540,24940,25260,19627.74805,9702750
7/22/2015,24880,25200,24700,25060,19472.33789,13416150
7/23/2015,24880,25060,24680,24680,19177.06836,10448250
7/24/2015,24540,24760,24480,24580,19099.36523,9829200
7/27/2015,24580,24940,24560,24600,19114.9082,12152000
7/28/2015,24480,25020,24380,24600,19114.9082,13381350
7/29/2015,25000,25500,24620,25260,19627.74805,13734450
7/30/2015,25160,25200,24300,24300,18881.79883,15419600
7/31/2015,24400,24440,23500,23700,18415.58008,19579450
8/3/2015,23680,23680,23320,23500,18260.17578,9844550
8/4/2015,23500,23740,23400,23640,18368.95508,12844350
8/5/2015,23640,23640,23160,23180,18011.52734,12802500
8/6/2015,23100,23120,22300,22300,17327.74609,20199050
8/7/2015,22400,22740,22300,22720,17654.09766,13787100
8/10/2015,22800,22840,22600,22820,17731.79883,5722500
8/11/2015,23020,23580,22960,23140,17980.44922,11664300
8/12/2015,23000,23280,22800,23080,17933.82031,11154000
8/13/2015,23060,23060,22760,22800,17716.25586,7520550
8/14/2015,22800,22800,22800,22800,17716.25586,0
8/17/2015,22800,22820,22080,22080,17156.79297,11360850
8/18/2015,22360,22820,22340,22620,17576.38867,11583600
8/19/2015,23380,23520,22820,23080,17933.82031,20070750
8/20/2015,23260,23420,22600,22780,17700.7168,10805950
8/21/2015,21980,22560,21920,22020,17110.17578,20442550
8/24/2015,21760,22300,20660,21580,16768.2793,22429600
8/25/2015,21580,22140,21340,21580,16768.2793,19625950
8/26/2015,21360,21480,21000,21340,16581.79297,27947600
8/27/2015,21640,21720,21260,21340,16581.79297,24769400
8/28/2015,21720,21720,21460,21620,16799.36328,23111150
8/31/2015,21420,21780,21040,21780,16923.67969,20415450
9/1/2015,21780,21960,21620,21700,16861.51953,12018600
9/2/2015,21380,21900,21300,21800,16939.22852,15634150
9/3/2015,22040,22500,21860,22440,17436.52344,15200350
9/4/2015,22440,22880,22360,22580,17545.30859,12570650
9/7/2015,22580,22580,22100,22240,17281.11328,9590250
9/8/2015,22260,22720,22120,22620,17576.38867,9116500
9/9/2015,22920,22940,22720,22940,17825.03711,12968800
9/10/2015,22600,22780,22360,22680,17623.00781,18128400
9/11/2015,22520,22660,22300,22300,17327.74609,10208350
9/14/2015,22400,22480,22200,22480,17467.60352,8353650
9/15/2015,22280,22560,22260,22460,17452.06445,11647800
9/16/2015,22420,23140,22420,23040,17902.74023,17188150
9/17/2015,23060,23140,22880,23140,17980.44922,13698000
9/18/2015,22900,23840,22700,23800,18493.28516,21813500
9/21/2015,23260,23460,23000,23000,17871.66406,10267950
9/22/2015,22860,23000,22600,22900,17793.96289,12533750
9/23/2015,22880,22880,22500,22620,17576.38867,9882450
9/24/2015,22520,22700,22500,22520,17498.68164,6636050
9/25/2015,22400,22500,22180,22240,17281.11328,10458000
9/30/2015,22000,22680,21800,22680,17623.00781,22946800
10/1/2015,22800,22900,22420,22680,17623.00781,12052050
10/2/2015,22240,22660,22240,22380,17389.89844,13715100
10/5/2015,22380,22620,22300,22300,17327.74609,12096750
